,Station,Longitude,Latitude,Ref. value,Plot Color
569,BIG RAPIDS WTR WKS,-85.4822,43.7072,-0.000681601,No Color
1511,BIG SPRING,-101.4536,32.2442,-0.000922392,No Color
997,BIG SPRINGS,-102.1467,41.0469,-0.00116211,No Color
914,BIG TIMBER,-109.9503,45.8328,-0.000188905,No Color
590,BIGFORK 13 S,-114.0331,47.875,-0.001113809,No Color
2464,BILLINGS,-97.4472,36.5297,-0.000426532,No Color
847,BILLINGS LOGAN INTL AP,-108.5422,45.8069,-0.002479659,No Color
347,BILLINGS WTP,-108.4811,45.7717,-0.001960528,No Color
2510,BILOXI,-89.0008,30.3931,-0.000445794,No Color
2667,BINGHAM 2 NE,-106.3494,33.9114,0.000300783,Dark Blue
998,BINGHAMTON,-75.985,42.1997,-0.002603262,No Color
1224,BIRCH HILL DAM,-72.1233,42.6325,-0.001026581,No Color
1941,BIRMINGHAM AP,-86.745,33.5656,-0.000837508,No Color
353,BISHOP AP,-118.3581,37.3711,-0.000962422,No Color
2146,BISHOPVILLE 1ENE,-80.2392,34.2169,-0.001377309,No Color
1840,BISMARCK,-100.7603,46.7708,-0.001471489,No Color
1348,BISON,-102.465,45.5286,-0.000419114,No Color
2595,BISON 3NW,-99.235,38.5636,0.0008346,Darkest Blue
2078,BITTER LAKES WR,-104.4042,33.4594,-0.000390726,No Color
4,BLACK RIVER PUMPS,-109.7517,33.4783,-0.000980452,No Color
816,BLACK ROCK,-112.9539,38.7075,-0.000254796,No Color
1239,BLACKFOOT FIRE DEPT,-112.3531,43.1969,-0.00154937,No Color
2248,BLACKSBURG NWSO,-80.4133,37.2017,-0.001444409,No Color
1464,BLAINE,-122.7928,48.9775,-0.001004682,No Color
1920,BLAIRSVILLE EXP STN,-83.9444,34.8544,-0.001426761,No Color
1884,BLAKELY,-84.5553,31.2239,-0.001041812,No Color
2358,BLAKELY MTN DAM,-93.1947,34.5697,-0.00016695,No Color
2544,BLANCHARD 2 SSW,-97.67,35.1183,-0.000751327,No Color
1500,BLANCO,-98.4286,30.1061,7.37E-06,No Color
2431,BLANDING,-109.4847,37.6131,-0.002077331,No Color
1165,BLOOMER,-91.4886,45.0956,-0.000706091,No Color
1872,BLOOMFIELD 1 WNW,-92.4394,40.7597,-0.001265193,No Color
1359,BLOOMFIELD 3 SE,-107.9603,36.6669,-0.001834969,No Color
889,BLOOMINGDALE,-85.9625,42.3842,-0.001052576,No Color
2132,BLOOMINGTON IN UNIV,-86.5214,39.1742,-0.001344346,No Color
181,No Color CANYON AP,-120.7103,39.2775,-0.002652111,No Color
1553,No ColorFIELD MERCER CO AP,-81.2078,37.2958,-0.001759688,No Color
1774,No ColorSTONE LAKE,-80.8831,37.6411,-0.00249052,No Color
