,Station,Longitude,Latitude,Ref. value,Plot Color
542,AVON PARK 2 W,-81.5267,27.5947,-0.001494141,No Color
2059,AZTEC RUINS NM,-108.0006,36.835,-0.004558064,No Color
2561,BACK BAY WR,-75.9114,36.6619,-0.008853726,No Color
888,BAD AXE,-82.9939,43.8081,-0.003021195,No Color
259,BAGDAD,-113.1739,34.5972,0.001643361,Dark Green
747,BAILEY,-105.4767,39.4047,-0.000599778,No Color
249,BAKER CITY MUNI AP,-117.8086,44.8428,0.004651231,Darkest Green
256,BAKERSFIELD AP,-119.0542,35.4344,0.000391185,No Color
2581,BALLINGER 2 NW,-99.9764,31.7414,-0.003280006,No Color
1084,BALMORHEA,-103.7403,30.9844,-0.000176775,No Color
1290,BALTIMORE WASH INTL AP,-76.6833,39.1667,-0.004177061,No Color
2229,BAMBERG,-81.0306,33.3,-0.003805112,No Color
428,BANDON 2 NNE,-124.4019,43.1497,-0.000868079,No Color
1047,BANGOR INTL AP,-68.8186,44.7978,-0.00364401,No Color
2473,BANKHEAD LOCK & DAM,-87.3572,33.4528,-0.005294516,No Color
2169,BANNER ELK,-81.8742,36.1617,-0.003958231,No Color
1087,BARABOO,-89.7269,43.4583,-0.005808024,No Color
1658,BARBOURVILLE,-83.8819,36.8825,-0.002190372,No Color
2064,BARDSTOWN 5E,-85.3847,37.8194,-0.001146256,No Color
2217,BARRE FALLS DAM,-72.0275,42.4281,-0.005325169,No Color
761,BARRE MONTPELIER AP,-72.5794,44.2033,-0.005650289,No Color
1173,BARROW POST ROGERS AP,-156.7814,71.2833,-0.007074377,No Color
116,BARSTOW DAGGETT AP,-116.7858,34.8536,-0.001434459,No Color
1386,BARTLESVILLE F P FLD,-96.0261,36.7683,-0.000133653,No Color
135,BARTLETT DAM,NA,NA,-0.009265262,No Color
323,BARTOW,-81.8433,27.8986,-0.007155123,No Color
1847,BASIN,-108.035,44.38,-0.002219918,No Color
833,BATAVIA,-78.1692,43.0303,-0.005815144,No Color
2272,BATESVILLE 2 SW,-89.9806,34.3061,-0.004142701,No Color
2321,BATESVILLE L&D 1,-91.6386,35.7597,-0.001866916,No Color
2339,BATESVILLE LVSTK,-91.7944,35.8306,-0.001509489,No Color
1055,BATON ROUGE RYAN AP,-91.1469,30.5372,-0.006193659,No Color
1702,BATTLE CREEK 5NW,-85.2667,42.3667,-0.004314729,No Color
227,BATTLE GROUND,-122.5286,45.7717,-0.003161723,No Color
566,BATTLE MOUNTAIN 4SE,-116.8917,40.6117,-0.010806827,No Color
1507,BAUDETTE,NA,NA,-0.007074007,No Color
1635,BAXTER,-83.3303,36.8583,-0.003841702,No Color
2317,BAY CITY WTR WKS,-95.975,28.9797,-0.005507893,No Color
2094,BAY MINETTE,-87.7853,30.8839,-0.004380294,No Color
2227,BAYARD,-79.3683,39.2728,-0.001540808,No Color
2660,BAYTOWN,-94.9908,29.9142,-0.006539693,No Color
552,BAYVIEW MODEL BASIN,-116.5594,47.9803,-0.000569249,No Color
1838,BEACONSFIELD,-94.0475,40.8236,0.002043362,Darkest Green
2005,BEAUFORT MCAS,-80.7167,32.4833,-0.005172143,No Color
586,BEAUMONT CITY,-94.0997,30.0969,-0.006939056,No Color
2701,BEAUMONT RSCH CTR,-94.2928,30.0689,-0.011058795,No Color
1015,BEAVER CITY,-99.8278,40.1306,-0.001502036,No Color
72,BEAVER FALLS,-131.4683,55.38,-0.002931801,No Color
1642,BECKLEY VA HOSPITAL,-81.1939,37.7647,0.000185536,No Color
2632,BEDFORD HANSCOM FLD,-71.2894,42.47,-0.003777494,No Color
1502,BEEVILLE 5 NE,-97.7061,28.4575,-0.005494427,No Color
1604,BELCOURT KEYA RADIO,-99.7508,48.8411,-0.002795753,No Color
973,BELFAST,-68.9892,44.4394,0.00166642,Dark Green
497,BELLE FOURCHE,-103.8511,44.6714,-0.005786845,No Color
1805,BELLE MINA 2 N,-86.8819,34.6892,-0.002709141,No Color
1866,BELLE PLAINE,-92.2764,41.8814,0.001715176,Dark Green
893,BELLEFONTAINE,-83.7747,40.3533,-0.002787855,No Color
2142,BELLEVILLE SIU RSCH,-89.8467,38.52,-0.008559281,No Color
1425,BELLEVUE L&D 12,-90.423,42.2611,-0.000907473,No Color
16,BELLINGHAM INTL AP,-122.5372,48.7939,-0.003754922,No Color
1880,BELOIT,-89.0311,42.5039,-0.001781645,No Color
2497,BELTSVILLE,-76.9314,39.0303,-0.010123897,No Color
1990,BELZONI,-90.4919,33.1772,-0.006323552,No Color
2413,BENBROOK DAM,-97.4439,32.6475,-0.006005364,No Color
69,BEND,-121.285,44.0569,-0.004566681,No Color
1580,BENKELMAN,-101.5325,40.0503,-0.006451507,No Color
1680,BENT CREEK,-82.5967,35.5044,-0.003905001,No Color
2612,BEOWAWE,-116.475,40.5903,0.000498149,Dark Green
1672,BEREA COLLEGE,-84.2908,37.5733,-0.000680073,No Color
1143,BERGLAND DAM,-89.5475,46.5869,-0.004572742,No Color
390,BERKELEY,-122.2606,37.8744,-0.002539287,No Color
1918,BERNE WWTP,-84.9305,40.6683,-0.00388761,No Color
455,BETATAKIN,-110.5411,36.6778,-0.003407571,No Color
424,BETHEL AP,-161.8292,60.785,-0.004556403,No Color
163,BETTLES AP,-151.5089,66.9161,-0.001383961,No Color
501,BEULAH,-118.1522,43.9092,-0.000904579,No Color
433,BICKLETON,-120.3006,45.9981,-0.001547628,No Color
443,BIG BAR 4 E,-123.2078,40.7406,-0.003650665,No Color
1039,BIG DELTA AP,-145.7214,63.9944,-0.00263123,No Color
685,BIG FALLS,-93.7994,48.1969,-0.007564777,No Color
240,BIG PINEY MARBLETON AP,-110.1075,42.5844,-0.006602646,No Color
569,BIG RAPIDS WTR WKS,-85.4822,43.7072,-0.003054004,No Color
1511,BIG SPRING,-101.4536,32.2442,-0.003915889,No Color
997,BIG SPRINGS,-102.1467,41.0469,-0.006194424,No Color
914,BIG TIMBER,-109.9503,45.8328,-0.002859829,No Color
590,BIGFORK 13 S,-114.0331,47.875,-0.006990024,No Color
2464,BILLINGS,-97.4472,36.5297,0.001202548,Dark Green
847,BILLINGS LOGAN INTL AP,-108.5422,45.8069,-0.004677774,No Color
347,BILLINGS WTP,-108.4811,45.7717,-0.008126334,No Color
2510,BILOXI,-89.0008,30.3931,-0.001837009,No Color
2667,BINGHAM 2 NE,-106.3494,33.9114,-0.004312552,No Color
998,BINGHAMTON,-75.985,42.1997,-0.00322638,No Color
1224,BIRCH HILL DAM,-72.1233,42.6325,-0.005652126,No Color
1941,BIRMINGHAM AP,-86.745,33.5656,-0.007724202,No Color
353,BISHOP AP,-118.3581,37.3711,-0.003654668,No Color
2146,BISHOPVILLE 1ENE,-80.2392,34.2169,-0.007035635,No Color
1840,BISMARCK,-100.7603,46.7708,-0.005667382,No Color
1348,BISON,-102.465,45.5286,-0.004749541,No Color
2595,BISON 3NW,-99.235,38.5636,0.000979064,Dark Green
2078,BITTER LAKES WR,-104.4042,33.4594,-0.002244876,No Color
4,BLACK RIVER PUMPS,-109.7517,33.4783,-0.001700621,No Color
816,BLACK ROCK,-112.9539,38.7075,-0.002580058,No Color
1239,BLACKFOOT FIRE DEPT,-112.3531,43.1969,-0.003517047,No Color
2248,BLACKSBURG NWSO,-80.4133,37.2017,-0.005911504,No Color
1464,BLAINE,-122.7928,48.9775,-0.002013459,No Color
1920,BLAIRSVILLE EXP STN,-83.9444,34.8544,-0.007019649,No Color
1884,BLAKELY,-84.5553,31.2239,-0.002348319,No Color
2358,BLAKELY MTN DAM,-93.1947,34.5697,-0.001787477,No Color
2544,BLANCHARD 2 SSW,-97.67,35.1183,-0.000731329,No Color
1500,BLANCO,-98.4286,30.1061,-0.003209256,No Color
2431,BLANDING,-109.4847,37.6131,-0.015129214,No Color
1165,BLOOMER,-91.4886,45.0956,-0.000540117,No Color
1872,BLOOMFIELD 1 WNW,-92.4394,40.7597,-0.001363066,No Color
1359,BLOOMFIELD 3 SE,-107.9603,36.6669,-0.003376498,No Color
889,BLOOMINGDALE,-85.9625,42.3842,-0.006838172,No Color
2132,BLOOMINGTON IN UNIV,-86.5214,39.1742,-0.001623545,No Color
181,BLUE CANYON AP,-120.7103,39.2775,-0.006301655,No Color
1553,BLUEFIELD MERCER CO AP,-81.2078,37.2958,-0.008328178,No Color
1774,BLUESTONE LAKE,-80.8831,37.6411,-0.007965808,No Color
2045,BLUFF,-109.5575,37.2825,-0.011415148,No Color
383,BLYTHE,NA,NA,-0.010730095,No Color
41,BLYTHE AP,-114.7142,33.6186,-0.006105147,No Color
65,BOCA,-120.0936,39.3886,-0.00527972,No Color
2502,BOERNE,-98.7353,29.7986,-0.004387329,No Color
1270,BOISE AIR TERMINAL,-116.2406,43.5667,-0.005991929,No Color
1398,BOISE CITY 2 E,-102.4806,36.7236,-0.003602704,No Color
38,BOISE LUCKY PEAK DAM,-116.0542,43.5253,-0.002907682,No Color
2311,BOLIVAR 1 NE,-93.3911,37.6167,-0.004399635,No Color
2177,BOLIVAR WTR WKS,-88.9892,35.2622,-0.002032225,No Color
1607,BONDURANT,-110.4358,43.2278,-0.005350614,No Color
1050,BONHAM 3NNE,-96.1661,33.6403,-0.000123362,No Color
577,BONNERS FERRY,-116.3103,48.6928,-0.001403675,No Color
262,BONNEVILLE DAM,-121.9519,45.6361,-0.005052756,No Color
1670,BONNY DAM 2NE,-102.1192,39.6567,-0.007429301,No Color
1794,BOONEVILLE,-88.5622,34.6344,-0.005834571,No Color
1212,BOONTON 1 SE,-74.4033,40.8922,-0.010863007,No Color
1011,BOONVILLE 4 SSW,-75.3697,43.4361,-0.00305112,No Color
2010,BORGER,-101.4542,35.6364,-0.002907603,No Color
519,BORINQUEN AP,-67.1294,18.4981,-0.003019531,No Color
