,Station,Longitude,Latitude,Ref. value,Plot Color
347,BILLINGS WTP,-108.4811,45.7717,0.009010015,Dark Yellow
2510,BILOXI,-89.0008,30.3931,0.002316922,No Color
2667,BINGHAM 2 NE,-106.3494,33.9114,0.004226136,Light Yellow
998,BINGHAMTON,-75.985,42.1997,0.002910874,No Color
1224,BIRCH HILL DAM,-72.1233,42.6325,0.005002462,Light Yellow
1941,BIRMINGHAM AP,-86.745,33.5656,0.006540071,Yellow
353,BISHOP AP,-118.3581,37.3711,0.004335145,Light Yellow
2146,BISHOPVILLE 1ENE,-80.2392,34.2169,0.007213899,Yellow
1840,BISMARCK,-100.7603,46.7708,0.005286323,Light Yellow
1348,BISON,-102.465,45.5286,0.003125083,No Color
2595,BISON 3NW,-99.235,38.5636,-0.000914546,No Color
2078,BITTER LAKES WR,-104.4042,33.4594,0.002242041,No Color
4,BLACK RIVER PUMPS,-109.7517,33.4783,0.001645347,No Color
816,BLACK ROCK,-112.9539,38.7075,0.002359617,No Color
1239,BLACKFOOT FIRE DEPT,-112.3531,43.1969,0.002158625,No Color
2248,BLACKSBURG NWSO,-80.4133,37.2017,0.006759514,Yellow
1464,BLAINE,-122.7928,48.9775,0.0021641,No Color
1920,BLAIRSVILLE EXP STN,-83.9444,34.8544,0.008211001,Dark Yellow
1884,BLAKELY,-84.5553,31.2239,0.003950456,Light Yellow
2358,BLAKELY MTN DAM,-93.1947,34.5697,0.001912031,No Color
2544,BLANCHARD 2 SSW,-97.67,35.1183,0.001319371,No Color
1500,BLANCO,-98.4286,30.1061,0.003241895,No Color
2431,BLANDING,-109.4847,37.6131,0.012808189,Darkest Yellow
1165,BLOOMER,-91.4886,45.0956,0.000123256,No Color
1872,BLOOMFIELD 1 WNW,-92.4394,40.7597,0.001522134,No Color
1359,BLOOMFIELD 3 SE,-107.9603,36.6669,0.004158981,Light Yellow
889,BLOOMINGDALE,-85.9625,42.3842,0.00680854,Yellow
2132,BLOOMINGTON IN UNIV,-86.5214,39.1742,0.001900204,No Color
181,BLUE CANYON AP,-120.7103,39.2775,0.00574532,Light Yellow
1553,BLUEFIELD MERCER CO AP,-81.2078,37.2958,0.006611625,Yellow
1774,BLUESTONE LAKE,-80.8831,37.6411,0.009137336,Dark Yellow
2045,BLUFF,-109.5575,37.2825,0.01254126,Darkest Yellow
383,BLYTHE,NA,NA,0.009437711,Darkest Yellow
41,BLYTHE AP,-114.7142,33.6186,0.006673464,Yellow
65,BOCA,-120.0936,39.3886,0.00578253,Light Yellow
2502,BOERNE,-98.7353,29.7986,0.003702983,No Color
1270,BOISE AIR TERMINAL,-116.2406,43.5667,0.005831771,Light Yellow
1398,BOISE CITY 2 E,-102.4806,36.7236,0.003868475,No Color
38,BOISE LUCKY PEAK DAM,-116.0542,43.5253,0.004703337,Light Yellow
2311,BOLIVAR 1 NE,-93.3911,37.6167,0.004678346,Light Yellow
2177,BOLIVAR WTR WKS,-88.9892,35.2622,0.002555907,No Color
1607,BONDURANT,-110.4358,43.2278,0.005356845,Light Yellow
1050,BONHAM 3NNE,-96.1661,33.6403,-0.000577337,No Color
577,BONNERS FERRY,-116.3103,48.6928,0.003235967,No Color
262,BONNEVILLE DAM,-121.9519,45.6361,0.006009532,Light Yellow
1670,BONNY DAM 2NE,-102.1192,39.6567,0.006594889,Yellow
1794,BOONEVILLE,-88.5622,34.6344,0.006577976,Yellow
1212,BOONTON 1 SE,-74.4033,40.8922,0.009425684,Darkest Yellow
1011,BOONVILLE 4 SSW,-75.3697,43.4361,0.003276096,No Color
2010,BORGER,-101.4542,35.6364,0.001701967,No Color
519,BORINQUEN AP,-67.1294,18.4981,0.001958813,No Color
2076,BOSQUE DEL APACHE,-106.8908,33.8044,0.008187577,Dark Yellow
899,BOSTON LOGAN INTL AP,-71.0106,42.3606,0.004810394,Light Yellow
1497,BOTTINEAU,-100.4525,48.8217,0.00145819,No Color
51,BOULDER,-111.42,37.905,0.005398739,Light Yellow
149,BOUSE,-114.0242,33.9431,0.005306936,Light Yellow
2397,BOWIE,-97.8472,33.5511,-0.003398482,No Color
1928,BOWLING GREEN WARREN CO AP,-86.4239,36.9647,0.006097834,Yellow
1517,BOWLING GREEN WWTP,-83.6111,41.3831,-0.001070457,No Color
881,BOYSEN DAM,-108.1633,43.4053,-0.000825629,No Color
1272,BOZEMAN GALLATIN FLD,-111.1608,45.7881,0.005507607,Light Yellow
1308,BOZEMAN MONTANA ST U,-111.0453,45.6622,0.003761316,No Color
1454,BRACKETTVILLE,-100.4144,29.3167,0.00338577,No Color
810,BRADFORD 4SW RES 5,-78.7144,41.8975,0.003194866,No Color
919,BRADFORD RGNL AP,-78.6403,41.8031,0.005288665,Light Yellow
1510,BRADY,-99.3492,31.1444,0.006323979,Yellow
987,BRAINERD,-94.2086,46.3433,0.006129054,Yellow
1845,BRANDENBERG,-106.2314,45.8161,0.00542191,Light Yellow
1300,BRASSUA DAM,-69.812,45.6603,0.005582358,Light Yellow
2460,BRECKENRIDGE,-98.9017,32.75,0.003397394,No Color
1088,BREDETTE,-105.2992,48.5156,0.001535687,No Color
349,BREMERTON,-122.6828,47.5689,0.002141997,No Color
2453,BRENHAM,-96.3972,30.1592,0.003831138,No Color
2204,BREVARD,-82.7358,35.2283,0.001306551,No Color
1763,BREWTON 3 SSE,-87.055,31.0583,0.002546589,No Color
1589,BRIDGEHAMPTON,-72.3069,40.9461,0.006132714,Yellow
1537,BRIDGEPORT,-97.7761,33.2064,0.005719639,Light Yellow
2668,BRIDGEPORT 5 NW,-85.8008,34.9786,0.003089772,No Color
1004,BRIDGEPORT SIKORSKY MEM AP,-73.1289,41.1583,0.004939197,Light Yellow
1249,BRIDGER 2 N,-108.9092,45.3261,0.0041783,Light Yellow
1659,BRIDGEWATER,-97.5017,43.5525,-0.000464307,No Color
1007,BRIDGTON 3 NW,-70.7467,44.07,0.001499533,No Color
489,BRIGHT ANGEL RS,-112.062,36.2147,0.006061772,Yellow
2557,BRINKLEY,-91.2153,34.8822,0.005538866,Light Yellow
1898,BRISTOL TRI CITY AP,-82.4044,36.4731,0.003462172,No Color
680,BRITT,-93.8014,43.1017,-0.002370666,No Color
1126,BRITTON,-97.75,45.7908,0.005778126,Light Yellow
453,BROADUS,-105.4072,45.4442,0.011198971,Darkest Yellow
1187,BROCKTON,-71.005,42.0478,0.007188263,Yellow
2526,BROCKWAY 3 WSW,-105.83,47.2875,0.005657758,Light Yellow
1378,BRODHEAD,-89.3861,42.6181,0.005670582,Light Yellow
1273,BROKEN BOW 2 W,-99.675,41.4083,-0.001152707,No Color
531,BROOKGREEN GARDENS,-79.0975,33.5214,0.006044373,Yellow
1413,BROOKHAVEN CITY,-90.4581,31.5447,0.001743731,No Color
1723,BROOKINGS 2 NE,-96.7686,44.3253,0.004896903,Light Yellow
2501,BROOKLET 1 W,-81.673,32.375,0.005895774,Light Yellow
2432,BROWNFIELD #2,-102.2681,33.1908,0.004897376,Light Yellow
861,BROWNSVILLE,-97.4186,25.9156,0.007734069,Yellow
2467,BROWNWOOD 2ENE,-98.9456,31.7383,0.002325271,No Color
956,BRUNSWICK,-93.1331,39.4247,-0.001273396,No Color
948,BRUNSWICK MALCOLM MCKINNON AP,-81.3908,31.1522,0.005506999,Light Yellow
217,BRYCE CANYON AP,-112.1456,37.7064,0.003697053,No Color
265,BRYCE CANYON NP HQRS,-112.1689,37.6411,0.005320941,Light Yellow
2143,BUCHANAN,-79.6817,37.5247,0.008648119,Dark Yellow
1830,BUCKHANNON,-80.22,38.9803,0.002672769,No Color
839,BUCYRUS,-83.6111,40.8128,0.003699404,No Color
1184,BUENA VISTA 2S,-106.1275,38.8247,0.001994539,No Color
909,BUFFALO,-78.7369,42.9486,0.005169982,Light Yellow
2355,BUFFALO 2N,-93.1067,37.6667,-0.000514928,No Color
1759,BUFFALO 2NE,-93.84,45.1969,0.00222393,No Color
464,BUFFALO BILL DAM,-109.1675,44.5075,0.004998194,Light Yellow
1204,BUFFUMVILLE LAKE,-71.9075,42.1164,0.008734167,Dark Yellow
1124,BUNKIE,-92.1786,30.9594,0.006821106,Yellow
48,BURBANK VLY PUMP PLT,-118.3481,34.1867,0.00241681,No Color
1833,BURKES GARDEN,-81.3358,37.0925,0.000580691,No Color
1287,BURLEY MUNI AP,-113.7661,42.5417,0.005389563,Light Yellow
1993,BURLINGTON FIRE STN #5,-79.4481,36.0603,0.004789027,Light Yellow
823,BURLINGTON INTL AP,-73.15,44.4683,0.008291767,Dark Yellow
1908,BURLINGTON MUNI AP,-91.1253,40.7833,0.005144327,Light Yellow
1484,BURNET,-98.2339,30.7586,0.002302736,No Color
78,BURNEY,-121.6547,40.8803,0.004307976,Light Yellow
2716,BURR OAK 1N,-98.3036,39.8775,0.023944425,Darkest Yellow
2651,BURWELL,-99.1433,41.7769,0.004815604,Light Yellow
402,BUSBY,-106.9597,45.5397,0.00580057,Light Yellow
1113,BUSHNELL 1 E,-82.0894,28.6664,-0.001035835,No Color
2326,BUTLER 4W,-94.405,38.2611,0.004803738,Light Yellow
1115,BUTTE 5SE,-100.5847,47.7947,0.000106419,No Color
1321,BUTTE BERT MOONEY AP,-112.5006,45.9647,0.005545427,Light Yellow
205,BUTTONWILLOW,-119.4731,35.4047,0.00639192,Yellow
957,BYERS 5 ENE,-104.1275,39.7403,0.00444012,Light Yellow
898,CABINET GORGE,-116.0572,48.0864,0.001566794,No Color
396,CACHUMA LAKE,-119.9817,34.5822,0.00565922,Light Yellow
560,CADILLAC,-85.3967,44.2656,0.004662124,Light Yellow
2669,CAIRO 1SW,-84.2175,30.8697,0.000837102,No Color
1243,CAIRO 3N,-89.1856,37.0422,-0.004670359,No Color
662,CALEDONIA,-91.5028,43.6308,0.0035018,No Color
1926,CALHOUN FALLS,-82.5883,34.0906,0.005147939,Light Yellow
2000,CALHOUN RSCH STN,-92.3486,32.5133,0.002935638,No Color
903,CALICO ROCK 2 WSW,-92.1636,36.1092,-0.000673706,No Color
2350,CALIFORNIA,-92.5545,38.6278,-0.001642073,No Color
224,CALLAHAN,-122.8045,41.3111,0.000501548,No Color
2619,CAMARILLO AP,-119.0833,34.2167,0.009867453,Darkest Yellow
1080,CAMBRIDGE 5ESE,-93.1264,45.5506,0.005041102,Light Yellow
2223,CAMDEN 1,-92.8236,33.59,0.004439043,Light Yellow
1965,CAMILLA 3SE,-84.2036,31.1903,-0.001034789,No Color
475,CAMP CROOK,-103.9744,45.5489,0.005063395,Light Yellow
2283,CAMP HILL 2NW,-85.6561,32.8236,0.006423416,Yellow
400,CAMPO,-116.4728,32.6233,0.006609403,Yellow
401,CANAL POINT USDA,-80.6256,26.8639,0.007410762,Yellow
1543,CANANDAIGUA 3 S,-77.2808,42.8453,0.005304715,Light Yellow
687,CANBY,-96.2697,44.7183,0.001413078,No Color
955,CANOE BROOK,-74.3539,40.7436,0.009376424,Darkest Yellow
1731,CANON CITY,-105.2256,38.46,-0.00045108,No Color
697,CANTON,-96.5917,43.3056,0.002987745,No Color
1021,CANTON 4 SE,-75.1097,44.5772,0.006233832,Yellow
1992,CANTON 4N,-90.0361,32.6714,0.004508988,Light Yellow
1664,CANTON L&D 20,-91.5158,40.1433,-0.00203694,No Color
303,CAPE HATTERAS AP,-75.6219,35.2325,0.009497451,Darkest Yellow
2218,CAPE MAY 2 NW,-74.9358,38.9536,0.008140762,Dark Yellow
2260,CARBONDALE SEWAGE PLT,-89.1658,37.7308,0.002432348,No Color
1028,CARIBOU MUNI AP,-68.0172,46.8706,0.005540817,Light Yellow
2472,CARLINVILLE,-89.8703,39.2883,0.000262453,No Color
2084,CARLSBAD,-104.2225,32.3478,0.002645024,No Color
1102,CARLSBAD CAVERN CITY AP,-104.2581,32.3336,0.004756978,Light Yellow
2390,CARLSBAD CAVERNS,-104.4433,32.1783,0.006886587,Yellow
423,CARMEL VALLEY,-121.7244,36.4806,0.002619082,No Color
907,CARO WWTP,-83.3919,43.4839,0.001239328,No Color
1051,CARRIZO SPRINGS 3S,-99.8733,28.4894,-0.000659072,No Color
638,CARROLL,-94.85,42.065,0.002686793,No Color
1370,CARROLLTON,-93.4886,39.3594,0.003448258,No Color
106,CARSON CITY,-119.7678,39.1253,0.004948712,Light Yellow
1875,CARTERSVILLE,-84.7925,34.2042,0.004117062,Light Yellow
2351,CARTHAGE,-94.3397,32.1614,0.005707967,Light Yellow
1059,CARVILLE 2 SW,-91.1256,30.1981,0.006485294,Yellow
46,CASA GRANDE NM,-111.5367,32.9947,0.007615003,Yellow
846,CASCADE 1 NW,-116.0481,44.5228,0.000688221,No Color
831,CASCADE 20 SSE,NA,NA,0.00367732,No Color
